familles,script,ast,nb_imports,nb_functions,read_hits,write_hits,states_detectes,dangers_detectes,verdict
92MONDES,voix_seragone_92/ou_gagnent_92_mondes.py,OK,3,2,3,1,ajustement_combine_resultats.csv|comparaison_V9_vs_Seragone92.csv|etiquetage_chutes.csv|ou_gagnent_92_mondes.csv|seragone_92_historique.csv|signal_baisse_raphael_V9.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/ou_gagnent_92_mondes_v2.py,OK,3,2,1,1,comparaison_V9_vs_Seragone92.csv|ou_gagnent_92_mondes.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/simulation_finale_v9_seragone_guardian.py,OK,5,4,2,0,comparaison_V9_vs_Seragone92.csv|modules_historique_complet.csv,,TESTER_OFFLINE
92MONDES,voix_seragone_92/simulation_guardian_dynamique.py,OK,6,7,3,1,comparaison_V9_vs_Seragone92.csv|early_warning_omori.csv|modules_historique_complet.csv|simulation_guardian_dynamique.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/test_regle_raphael.py,OK,4,9,3,1,comparaison_V9_vs_Seragone92.csv|fear_greed_complet.csv|modules_historique_complet.csv|regle_raphael_resultats.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/test_regle_raphael_v2.py,OK,4,4,3,1,comparaison_V9_vs_Seragone92.csv|fear_greed_complet.csv|modules_historique_complet.csv|regle_raphael_v2_resultats.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/test_regle_raphael_v3.py,OK,4,4,3,1,comparaison_V9_vs_Seragone92.csv|fear_greed_complet.csv|modules_historique_complet.csv|regle_raphael_v3_finale.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/test_regle_v2G.py,OK,4,4,3,0,comparaison_V9_vs_Seragone92.csv|fear_greed_complet.csv|modules_historique_complet.csv,,TESTER_OFFLINE
92MONDES,voix_seragone_92/test_v2G10j_15crashs.py,OK,4,6,4,1,comparaison_V9_vs_Seragone92.csv|early_warning_omori.csv|fear_greed_complet.csv|modules_historique_complet.csv|v2G10j_vs_15crashs.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/test_v2G_fenetres.py,OK,4,4,3,0,comparaison_V9_vs_Seragone92.csv|fear_greed_complet.csv|modules_historique_complet.csv,,TESTER_OFFLINE
92MONDES,voix_seragone_92/tir_quotidien_leviers.py,OK,3,3,2,1,bear40_historique.csv|comparaison_V9_vs_Seragone92.csv|tir_quotidien_leviers.csv,,GARDER_CANON_DORMANT
92MONDES,voix_seragone_92/trading_quotidien_seragone.py,OK,3,2,1,1,comparaison_V9_vs_Seragone92.csv|trading_quotidien_seragone.csv,,GARDER_CANON_DORMANT
SUBDAILY,vrais_yeux_subdaily.py,OK,4,5,1,1,,,TESTER_OFFLINE
